transaction_id,invoice_id,transaction_date,invoice_date,due_date,vendor_id,vendor_name,vendor_type,category,cost_center,base_amount_inr,gst_percent,gst_amount_inr,total_amount_inr,currency,payment_method,payment_status,created_by,approver,approval_level,po_number,contract_id,invoice_present,gstin
TXN2026001,INV20260001,2026-03-27,2026-03-22,2026-05-03,V015,DataVault Analytics Ltd,Technology,Technology,FIN,39669.52,12,4760.34,44429.86,INR,IMPS,Approved,Rohan Mehta,Prakash Tiwari,L1,PO2035126,CONV015-324,Yes,19AADCE4567U1Z1
TXN2026002,INV20260002,2026-03-29,2026-03-23,2026-05-09,V013,FreshCafe Catering Ltd,Facilities,Facilities,HR,9964.15,28,2789.96,12754.11,INR,NEFT,Approved,Suresh Reddy,Lalitha Rajan,L1,,CONV013-317,Yes,24AABCF2345S1Z7
TXN2026003,INV20260003,2026-03-25,2026-03-17,2026-04-21,V015,DataVault Analytics Ltd,Technology,Technology,MKT,47102.61,12,5652.31,52754.92,INR,RTGS,Approved,Ritu Singh,Prakash Tiwari,L1,PO2035578,CONV015-538,Yes,19AADCE4567U1Z1
TXN2026004,INV20260004,2026-04-25,2026-04-15,2026-05-22,V006,MediaReach Pvt Ltd,Marketing,Marketing,HR,13223.68,5,661.18,13884.86,INR,IMPS,Approved,Pooja Rao,Abhijit Das,L1,PO2032917,CONV006-710,Yes,06AACCC5678K1Z4
TXN2026005,INV20260005,2026-01-09,2026-01-02,2026-02-05,V010,EliteTravel & Tours,Travel,Travel,IT,59054.14,5,2952.71,62006.85,INR,UPI,Pending,Arjun Pillai,Prakash Tiwari,L1,PO2031574,CONV010-214,Yes,09AABCC9012P1Z0
TXN2026006,INV20260006,2026-02-07,2026-01-31,2026-02-27,V008,GreenOffice Supplies,Stationery,HR Services,IT,51897.51,5,2594.88,54492.39,INR,RTGS,Approved,Pooja Rao,Meenakshi Subramaniam,L1,PO2028505,CONV008-482,Yes,33AABCF7890M1Z6
TXN2026007,INV20260002,2026-04-08,2026-04-05,2026-05-10,V013,FreshCafe Catering Ltd,Facilities,Facilities,FIN,74682.4,5,3734.12,78416.52,INR,IMPS,Approved,Priya Nair,Prakash Tiwari,L1,,CONV013-159,Yes,24AABCF2345S1Z7
TXN2026008,INV20260003,2026-01-31,2026-01-16,2026-03-05,V002,Infrasync Solutions Ltd,Technology,Consulting,FIN,40646.18,12,4877.54,45523.72,INR,IMPS,Approved,Arjun Pillai,Abhijit Das,L1,PO2034646,CONV002-993,Yes,29AADCE5678F1Z3
TXN2026009,INV20260005,2026-03-19,2026-03-12,2026-05-03,V004,BuildRight Contractors,Facilities,Facilities,ADMIN,53740.85,28,15047.44,68788.29,INR,RTGS,Approved,Arjun Pillai,Vandana Chopra,L1,PO2033398,CONV004-223,Yes,24AACCD3456H1Z9
TXN2026010,INV20260010,2026-02-01,2026-01-28,2026-02-18,V006,MediaReach Pvt Ltd,Marketing,Legal,HR,52332.72,5,2616.64,54949.36,INR,IMPS,Approved,Ritu Singh,Meenakshi Subramaniam,L1,PO2027105,CONV006-132,Yes,06AACCC5678K1Z4
TXN2026011,INV20260011,2026-04-21,2026-04-15,2026-05-08,V009,NetGuard Cybersec Ltd,Technology,Technology,ADMIN,75163.57,12,9019.63,84183.2,INR,Cheque,Approved,Ritu Singh,Vandana Chopra,L1,PO2029982,CONV009-903,Yes,29AACCE8901N1Z8
TXN2026012,INV20260012,2026-03-02,2026-02-17,2026-03-30,V004,BuildRight Contractors,Facilities,Catering,MKT,247437.86,28,69282.6,316720.46,INR,UPI,Approved,Pooja Rao,Sunita Menon,L3,PO2026994,CONV004-512,No,24AACCD3456H1Z9
TXN2026013,INV20260013,2026-04-04,2026-03-29,2026-05-14,V014,LegalEdge Associates,Legal,Marketing,HR,25890.89,28,7249.45,33140.34,INR,IMPS,Approved,Rohan Mehta,Meenakshi Subramaniam,L1,PO2027236,CONV014-553,Yes,07AACCC3456T1Z9
TXN2026014,INV20260014,2026-04-14,2026-03-31,2026-05-26,V009,NetGuard Cybersec Ltd,Technology,Catering,IT,35481.05,12,4257.73,39738.78,INR,NEFT,Pending,Rohan Mehta,Vandana Chopra,L1,PO2029503,CONV009-985,Yes,29AACCE8901N1Z8
TXN2026015,INV20260015,2026-02-21,2026-02-06,2026-03-09,V003,PrintMate India Pvt Ltd,Stationery,Stationery,MKT,36725.56,28,10283.16,47008.72,INR,UPI,Pending,Suresh Reddy,Vandana Chopra,L1,PO2028537,CONV003-294,Yes,07AABCF2345G1Z1
TXN2026016,INV20260016,2026-02-07,2026-02-03,2026-03-24,V001,CloudNova Pvt Ltd,Technology,Technology,IT,48813.32,5,2440.67,51253.99,INR,NEFT,Approved,Aakash Sharma,Abhijit Das,L1,PO2026932,CONV001-620,Yes,27AABCC1234D1Z5
